Validator,PT_VERSION,2.5.1
Validator,ROCM_VERSION,6.2.0.0-66-98a50c5
Validator,HIPBLASLT_VERSION,800-50015815
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,4.2.0-54f305c1-dirty
GemmTunableOp_float_TN,tn_384_12_384,Gemm_Rocblas_1140853253,0.0118368
GemmTunableOp_float_TN,tn_384_200_384,Gemm_Rocblas_1140853097,0.0147045
GemmTunableOp_float_TN,tn_384_7840_1536,Default,0.341632
GemmTunableOp_float_TN,tn_384_200_1536,Gemm_Rocblas_1140853248,0.0342335
GemmTunableOp_float_TN,tn_384_208_384,Gemm_Rocblas_1140853316,0.0146653
GemmTunableOp_float_TN,tn_1536_580_384,Gemm_Rocblas_1140853036,0.0405995
GemmTunableOp_float_TN,tn_384_7_1536,Gemm_Rocblas_1140853250,0.0201442
GemmTunableOp_float_TN,tn_384_740_1536,Gemm_Rocblas_1140853098,0.0671649
GemmTunableOp_float_TN,tn_384_500_384,Gemm_Rocblas_1140853097,0.0173845
GemmTunableOp_float_TN,tn_1536_408_384,Gemm_Rocblas_1140853066,0.0300991
GemmTunableOp_float_TN,tn_384_7680_384,Gemm_Rocblas_1140853048,0.0961267
GemmTunableOp_float_TN,tn_1536_636_384,Gemm_Rocblas_1140853028,0.0438739
GemmTunableOp_float_TN,tn_384_5664_1536,Gemm_Rocblas_1140853328,0.254645
GemmTunableOp_float_TN,tn_1536_600_384,Gemm_Rocblas_1140853073,0.0417279
GemmTunableOp_float_TN,tn_384_6400_1536,Default,0.328306
GemmTunableOp_float_TN,tn_1536_652_384,Gemm_Rocblas_1140853045,0.0403991
GemmTunableOp_float_TN,tn_384_136_1536,Gemm_Rocblas_1140853191,0.0289137
GemmTunableOp_float_TN,tn_1536_7808_384,Default,0.361374
GemmTunableOp_float_TN,tn_384_600_1536,Gemm_Rocblas_1140853174,0.0605453
GemmTunableOp_float_TN,tn_384_648_1536,Gemm_Rocblas_1140853174,0.0600305
GemmTunableOp_float_TN,tn_1536_8192_384,Gemm_Rocblas_1140853331,0.349751
GemmTunableOp_float_TN,tn_384_180_1536,Gemm_Rocblas_1140853191,0.0301218
GemmTunableOp_float_TN,tn_1536_7776_384,Gemm_Rocblas_1140853331,0.368573
GemmTunableOp_float_TN,tn_384_288_1536,Gemm_Rocblas_1140853191,0.0408159
GemmTunableOp_float_TN,tn_384_7520_384,Gemm_Rocblas_1140853048,0.0995188
GemmTunableOp_float_TN,tn_384_7200_1536,Default,0.356403
GemmTunableOp_float_TN,tn_384_676_1536,Gemm_Rocblas_1140853182,0.0605433
GemmTunableOp_float_TN,tn_1536_40_384,Gemm_Rocblas_1140853324,0.0154561
GemmTunableOp_float_TN,tn_384_7808_384,Gemm_Rocblas_1140853047,0.0974055
GemmTunableOp_float_TN,tn_384_740_384,Gemm_Rocblas_1140853098,0.0211954
GemmTunableOp_float_TN,tn_384_6720_1536,Gemm_Rocblas_1140853073,0.310501
GemmTunableOp_float_TN,tn_384_600_384,Gemm_Rocblas_1140853316,0.0205618
GemmTunableOp_float_TN,tn_384_1012_1536,Gemm_Rocblas_1140853130,0.0706081
GemmTunableOp_float_TN,tn_384_6496_384,Gemm_Rocblas_1140853064,0.0914975
GemmTunableOp_float_TN,tn_1536_8160_384,Default,0.347333
GemmTunableOp_float_TN,tn_384_744_1536,Gemm_Rocblas_1140853130,0.0668413
GemmTunableOp_float_TN,tn_1536_6464_384,Gemm_Rocblas_1140853331,0.297795
GemmTunableOp_float_TN,tn_384_568_1536,Gemm_Rocblas_1140853156,0.0632237
GemmTunableOp_float_TN,tn_1536_812_384,Default,0.0492912
GemmTunableOp_float_TN,tn_384_7840_384,Gemm_Rocblas_1140853038,0.10102
GemmTunableOp_float_TN,tn_384_96_1536,Gemm_Rocblas_1140853181,0.0257106
GemmTunableOp_float_TN,tn_384_640_384,Gemm_Rocblas_1140853098,0.0202198
GemmTunableOp_float_TN,tn_384_644_384,Gemm_Rocblas_1140853120,0.020835
GemmTunableOp_float_TN,tn_384_7328_1536,Default,0.352031
GemmTunableOp_float_TN,tn_384_48_1536,Gemm_Rocblas_1140853253,0.0224449
GemmTunableOp_float_TN,tn_1536_648_384,Gemm_Rocblas_1140853045,0.0403795
GemmTunableOp_float_TN,tn_1536_7_384,Gemm_Rocblas_1140853266,0.0151221
GemmTunableOp_float_TN,tn_1536_6400_384,Gemm_Rocblas_1140853331,0.290031
GemmTunableOp_float_TN,tn_384_6592_384,Gemm_Rocblas_1140853064,0.0880527
GemmTunableOp_float_TN,tn_384_676_384,Gemm_Rocblas_1140853098,0.0211562
GemmTunableOp_float_TN,tn_1536_7200_384,Gemm_Rocblas_1140853290,0.343631
GemmTunableOp_float_TN,tn_384_7360_1536,Default,0.357187
GemmTunableOp_float_TN,tn_384_672_1536,Gemm_Rocblas_1140853098,0.0650625
GemmTunableOp_float_TN,tn_384_852_1536,Gemm_Rocblas_1140853108,0.0681918
GemmTunableOp_float_TN,tn_1536_744_384,Gemm_Rocblas_1140853028,0.0463292
GemmTunableOp_float_TN,tn_384_7392_1536,Default,0.353874
GemmTunableOp_float_TN,tn_384_6592_1536,Gemm_Rocblas_1140853073,0.315282
GemmTunableOp_float_TN,tn_1536_128_384,Gemm_Rocblas_1140853322,0.0168389
GemmTunableOp_float_TN,tn_1536_176_384,Gemm_Rocblas_1140853120,0.020835
GemmTunableOp_float_TN,tn_384_620_384,Gemm_Rocblas_1140853097,0.0206158
GemmTunableOp_float_TN,tn_1536_728_384,Gemm_Rocblas_1140853028,0.0463167
GemmTunableOp_float_TN,tn_384_64_1536,Gemm_Rocblas_1140853171,0.0234727
GemmTunableOp_float_TN,tn_1536_400_384,Gemm_Rocblas_1140853066,0.0295214
GemmTunableOp_float_TN,tn_384_212_1536,Gemm_Rocblas_1140853265,0.0342011
GemmTunableOp_float_TN,tn_384_272_384,Gemm_Rocblas_1140853316,0.0158865
GemmTunableOp_float_TN,tn_384_6336_384,Gemm_Rocblas_1140853330,0.0895696
GemmTunableOp_float_TN,tn_1536_340_384,Gemm_Rocblas_1140853122,0.0282194
GemmTunableOp_float_TN,tn_1536_6720_384,Gemm_Rocblas_1140853149,0.300424
GemmTunableOp_float_TN,tn_384_7520_1536,Default,0.359442
GemmTunableOp_float_TN,tn_384_6048_1536,Gemm_Rocblas_1140853328,0.25889
GemmTunableOp_float_TN,tn_384_624_384,Gemm_Rocblas_1140853097,0.0206082
GemmTunableOp_float_TN,tn_384_6272_1536,Gemm_Rocblas_1140853036,0.330491
GemmTunableOp_float_TN,tn_384_128_1536,Gemm_Rocblas_1140853265,0.024831
GemmTunableOp_float_TN,tn_384_9_1536,Gemm_Rocblas_1140853250,0.020231
GemmTunableOp_float_TN,tn_384_6528_1536,Gemm_Rocblas_1140853036,0.335301
GemmTunableOp_float_TN,tn_1536_708_384,Gemm_Rocblas_1140853053,0.0449559
GemmTunableOp_float_TN,tn_384_7104_384,Gemm_Rocblas_1140853073,0.0929091
GemmTunableOp_float_TN,tn_1536_308_384,Gemm_Rocblas_1140853145,0.028215
GemmTunableOp_float_TN,tn_384_4_1536,Gemm_Rocblas_1140853250,0.0200302
GemmTunableOp_float_TN,tn_1536_6496_384,Gemm_Rocblas_1140853331,0.297949
GemmTunableOp_float_TN,tn_384_628_1536,Gemm_Rocblas_1140853170,0.0605972
GemmTunableOp_float_TN,tn_1536_392_384,Gemm_Rocblas_1140853066,0.0296766
GemmTunableOp_float_TN,tn_1536_6624_384,Gemm_Rocblas_1140853291,0.30628
GemmTunableOp_float_TN,tn_1536_732_384,Gemm_Rocblas_1140853073,0.0415479
GemmTunableOp_float_TN,tn_1536_484_384,Gemm_Rocblas_1140853066,0.0330895
GemmTunableOp_float_TN,tn_1536_620_384,Gemm_Rocblas_1140853064,0.0404291
GemmTunableOp_float_TN,tn_1536_280_384,Gemm_Rocblas_1140853157,0.027913
GemmTunableOp_float_TN,tn_384_7616_1536,Default,0.360258
GemmTunableOp_float_TN,tn_384_7744_1536,Default,0.366657
GemmTunableOp_float_TN,tn_384_880_384,Gemm_Rocblas_1140853100,0.0216566
GemmTunableOp_float_TN,tn_384_648_384,Gemm_Rocblas_1140853120,0.020833
GemmTunableOp_float_TN,tn_384_176_1536,Gemm_Rocblas_1140853191,0.0299175
GemmTunableOp_float_TN,tn_384_176_384,Gemm_Rocblas_1140853320,0.0146729
GemmTunableOp_float_TN,tn_384_392_384,Gemm_Rocblas_1140853306,0.0170305
GemmTunableOp_float_TN,tn_1536_88_384,Gemm_Rocblas_1140853309,0.0162337
GemmTunableOp_float_TN,tn_384_704_1536,Gemm_Rocblas_1140853098,0.0650885
GemmTunableOp_float_TN,tn_384_212_384,Gemm_Rocblas_1140853316,0.0147237
GemmTunableOp_float_TN,tn_384_7456_384,Gemm_Rocblas_1140853047,0.0988244
GemmTunableOp_float_TN,tn_1536_6176_384,Gemm_Rocblas_1140853331,0.295072
GemmTunableOp_float_TN,tn_1536_212_384,Gemm_Rocblas_1140853322,0.0218434
GemmTunableOp_float_TN,tn_1536_684_384,Gemm_Rocblas_1140853028,0.0454428
